handleId,fieldType,name,description,productImageUrl,collection,isbn,price,visible,inventory,additionalInfoTitle1,additionalInfoDescription1,,,
9780143104391,Product,Blaika frāiḍe,Blaika frāiḍe - S. Hussain Zaidi,http://images.amazon.com/images/P/014310439X.01Z.jpg,S. Hussain Zaidi,9780143104391,299,TRUE,1,Written By S. Hussain Zaidi,Blaika frāiḍe - S. Hussain Zaidi,,,
9780143421054,Product,कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman,कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman - Shamsur Rahman; 'Nadeem' Faruqi,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9780143421054.png,Shamsur Rahman; 'Nadeem' Faruqi,9780143421054,650,TRUE,2,Written By Shamsur Rahman; 'Nadeem' Faruqi,कई चांद थे सरे-आसमां / Kai chand the sar-e-aasman - Shamsur Rahman; 'Nadeem' Faruqi,,,
9780143440451,Product,और फ़िर एक दिन,और फ़िर एक दिन - Naseeruddin Shah,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9780143440451.png,Naseeruddin Shah,9780143440451,299,TRUE,2,Written By Naseeruddin Shah,और फ़िर एक दिन - Naseeruddin Shah,,,
9788121602716,Product,Navin ank jyotish.,Navin ank jyotish. - Narayandatt Shrimali,http://images.amazon.com/images/P/8121602718.01Z.jpg,Narayandatt Shrimali,9788121602716,125,TRUE,1,Written By Narayandatt Shrimali,Navin ank jyotish. - Narayandatt Shrimali,,,
9788121615150,Product,Hindī ke lokapriya gītakāra,Hindī ke lokapriya gītakāra - Neeraj & Kiran Singh,http://images.amazon.com/images/P/8121615151.01Z.jpg,Neeraj & Kiran Singh,9788121615150,150,TRUE,1,Written By Neeraj & Kiran Singh,Hindī ke lokapriya gītakāra - Neeraj & Kiran Singh,,,
9788122500752,Product,Dimāgī gulāmī,Dimāgī gulāmī - Rāhula Sāṅkṛtyāyana,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122500752.png,Rāhula Sāṅkṛtyāyana,9788122500752,40,TRUE,1,Written By Rāhula Sāṅkṛtyāyana,Dimāgī gulāmī - Rāhula Sāṅkṛtyāyana,,,
9788122500806,Product,Kanailā kī kathā,Kanailā kī kathā - Rāhul Sāṅkṛtyāyana,https://s3.amazonaws.com/kimicoapps-bookbuddy/08474CB9-5FAC-4EE0-88D2-23111FA00FB1,Rāhul Sāṅkṛtyāyana,9788122500806,50,TRUE,1,Written By Rāhul Sāṅkṛtyāyana,Kanailā kī kathā - Rāhul Sāṅkṛtyāyana,,,
9788122501032,Product,अँधा युग,अँधा युग - धर्मवीर भारती,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122501032.png,धर्मवीर भारती,9788122501032,200,TRUE,1,Written By धर्मवीर भारती,अँधा युग - धर्मवीर भारती,,,
9788122501896,Product,सिंह सेनापति,सिंह सेनापति - Rahul Sankrityayan,https://storage.googleapis.com/paperback-books-7652f.appspot.com/hindiCollection/thumbnail/thumb_Img_9788122501896.png,Rahul Sankrityayan,9788122501896,95,TRUE,1,Written By Rahul Sankrityayan,सिंह सेनापति - Rahul Sankrityayan,,,
9788122503258,Product,Tibbata meṃ Bauddha dharma,Tibbata meṃ Bauddha dharma - Rāhula Sāṅkṛtyāyana,https://s3.amazonaws.com/kimicoapps-bookbuddy/9F99DA97-60BA-442C-A6DC-BE362E093D64,Rāhula Sāṅkṛtyāyana,9788122503258,45,TRUE,1,Written By Rāhula Sāṅkṛtyāyana,Tibbata meṃ Bauddha dharma - Rāhula Sāṅkṛtyāyana,,,
