Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Image URL,Activities,Source
Prārthanā Ke Bāhara Aura Anya Kahāniyām̐,,,,,Gītāśrī,Gītāśrī,,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,148,,,,, 125.00,,,,,,,9789350723999,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:17:40.037768959,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F46A6B59-3EF9-4BAF-B42D-51696645E05F,,bookbuddy
Beech Bahas Mein,,,,,Nirmal Verma,"Verma, Nirmal",,,,,,Vani Prakashan,,2020/05/03,2020,,,,Literary Criticism,"निर्मल वर्मा की करुणा आत्मदया नहीं है, यह एक समझदार और वयस्क करुणा है। यह करुणा जीवन में विसंगतियों को देखती है और उन्हें समझती है, गोकि कुछ करती नहीं। निर्मल वर्मा की कहानियों के पात्र एक-दूसरे को भीतर से समझते हैं, इसलिए उनमें आपस में कोई विरोध या संघर्ष नहीं है, वे एक-दूसरे को काटते नहीं, एक-दूसरे के अस्तित्व की प्रतिज्ञाओं को तोड़ते नहीं। एक अर्थ में वे यथास्थितिवादी हैं। वे अपने केन्द्र पर अपनी अनुभूति की पूरी सजीवता से डोलते हुए सिर्फ स्थिर रहना चाहते हैं, न अपने आपको, न अपने परिवेश को और न इन दोनों के सम्बन्ध को ही बदलना चाहते हैं। -मलयज बीच बहस में एक मौत हुई थी। लगा था कि दिवंगत के साथ ही उसके साथ होने वाली बहस भी समाप्त हो गयी। पर बहस समाप्त हुई नहीं। हो भी कैसे? बहस केवल उससे तो थी नहीं, जो चला गया। वह तो अपने आप से है, उनसे है जो बच रहे हैं। और जो मौत भी हुई है, वह कोई टोटल, सम्पूर्ण मौत तो है नहीं। क्यों कोई मौत टोटल होती है? -सुधीर चंद्र",,,,,,,,,,,128,,,,,375 ,Hindi,,,,,,9789387155664,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:18:34.789528965,,,,,,,rgvhDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/CFA5FDFF-7478-459D-AA9F-715470C3D321,,bookbuddy
Jhopadi Wale Aur Anya Kahaniya,,,,,Mihail Sadoveanu / Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,,,,,,,,,,,,,,,,,186,,,,, 250.00,Hindi,,,,,,9789350001585,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:39:07.998520970,,,,,,,f8h23EhpVoAC,Hindi,0,0,,,,bookbuddy
Vaishṇava kī phisalana,,,,,Hariśaṅkara Parasāī,"Parasāī, Hariśaṅkara",,,,,,,,,,,,,,,,,,,,,,,,,103,,,,, 295.00,,,,,,,9788126703395,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:40:03.650228977,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126703393.01Z.jpg,,bookbuddy
Kahata kabīra,,,,,Hariśaṅkara Parasāī,"Parasāī, Hariśaṅkara",,,,,,,,,,,,,,,,,,,,,,,,,163,,,,, 350.00,,,,,,,9788126728527,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:40:45.936177968,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8126728523.01Z.jpg,,bookbuddy
Jatayu,,,,,Mahashweta Devi,"Devi, Mahashweta",,,,,,Vani Prakashan,,2017/06/06,2017,,,,Comics & Graphic Novels,,,,,,,,,,,,112,,,,,250 ,Hindi,,,,,,9789352296187,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:42:19.353131055,,,,,,,R0swDwAAQBAJ,Hindi,0,0,,,,bookbuddy
Ticket-Sangrah,,,,,Karel Chapek / Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,,,,,,,,,,,,,,,,,234,,,,, 125.00,Hindi,,,,,,9789350001615,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:43:04.421926975,,,,,,,UIqnyp8mA8UC,Hindi,0,0,,,,bookbuddy
Ratn-Kangan Tatha Anya Kahaniyan,,,,,Aleksander Kuprin / Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,2010,,,,,A collection of short stories by A.I. Kuprin.,,,,,,,,,,,293,,,,, 425.00,Hindi,,,,,,9789350001592,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:43:51.140859961,,,,,,,m-_7azvijRgC,Hindi,0,0,,,,bookbuddy
Ticket-Sangrah,,,,,Karel Chapek / Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,,,,,,,,,,,,,,,,,234,,,,, 125.00,Hindi,,,,,,9789350001615,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:45:22.148834943,,,,,,,UIqnyp8mA8UC,Hindi,0,0,,,,bookbuddy
Ek Maheena Nazmon Ka,,,,,Irshad Kamil,"Kamil, Irshad",,,,,,Vani Prakashan,,2015/05/01,2015,,,,,,,,,,,,,,,,217,,,,,395 ,Hindi,,,,,,9789350729212,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:01:41.304561018,,,,,,,jI_WDgAAQBAJ,Hindi,0,0,,,,bookbuddy
Ujale Apni Yado Ke,,,,,Basheer,Basheer,,,,,,Vani Prakashan,,,1996,,,,,,,,,,,,,,,,115,,,,, 200.00,Hindi,,,,,,9788170554585,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:11:13.792628049,,,,,,,T3tl4Uwaq0oC,Hindi,0,0,,,,bookbuddy
Jindgi A Jindgi,,,,,"Mahādevī Varmā, Nirmalā Jaina","Varmā, Mahādevī",,,,,,Vani Prakashan,,,2007,,,,,,,,,,,,,,,,284,,,,, 250.00,Hindi,,,PK2098.V3,2010346392,,9788181436801,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:13:56.597519040,,,,,,,Cvf3MfiwSOEC,Hindi,0,0,,,,bookbuddy
