Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
मेरी प्रिय कहानियाँ,,,,,रवींद्र कालिया,"कालिया, रवींद्र",,,,,,Rājapāla,,,2017,,,,,Selected stories of a Hindi author.,,,,,,,,,,,139,,,,,150 ₹,Hindi,,,,,,9789350643044,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:21:12.803186058,,,,,,,yz_DswEACAAJ,Hindi,0,0,,http://images.amazon.com/images/P/9350643049.01Z.jpg,
Prārthanā Ke Bāhara Aura Anya Kahāniyām̐,,,,,Gītāśrī,Gītāśrī,,,,,,Vāṇī Prakāśana,,,2013,,,,,,,,,,,,,,,,148,,,,,125 ₹,,,,,,,9789350723999,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:17:40.037768959,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/F46A6B59-3EF9-4BAF-B42D-51696645E05F,
Apane kheta meṃ--,,,,,Nāgārjuna,Nāgārjuna,,,,,,Vani Prakashan,,,1997,,,,,,,,,,,,,,,,63,,,,,175 ₹,Hindi,,,PK2098.M46 A88 1997,98901985,,9788170555728,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:18:40.963297963,,,,,,,VrRXvd5pQlAC,Hindi,0,0,,,
Pūjā ke phūla,,,,,Mālatī Jośī,"Jośī, Mālatī",,,,,,Manu Prakāśana,,,2005,,,,,,,,,,,,,,,,160,,,,,100 ₹,,,,,,,9788186265062,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:39:04.221573948,,,,,,,,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/4061DBCE-1C36-4187-B50F-FE39227464C5,
Ruk̲h̲asata karo mujhe,,,,,Munavvar Rānā,"Rānā, Munavvar",,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,200 ₹,,,,,,,9789387409088,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:10:14.373096942,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9387409082.01Z.jpg,
Bin Jiya Jeevan,,,,,Kuldeep Kumar,"Kumar, Kuldeep",,,,,,Vani Prakashan,,2019/11/23,2019,,,,Juvenile Fiction,"""कुलदीप कुमार के संग्रह बिन जिया जीवन की एक बड़ी खूबी यही है कि इसमें, इसकी कविता में, रोजमर्रा के जीवन-अनुभवों को, सम्बन्धों को शिद्दत से उकेरा गया है।...याद नहीं पड़ता कि किसी कवि ने हिन्दी में 'मिलने-बिछुड़ने' को इतनी तरह के जीवन-प्रसंगों में व्यक्त किया हो।... ये 'मिलने-बिछुड़ने' की अपूर्व कविताएँ तो हैं ही पर इनकी रेंज बहुत बड़ी है।...इनमें एक ओर 'सामयिक' जीवन है। ‘अपने समय' का, उसकी चिन्ताओं का, गहरा बोध भी है। साथ ही, ऐतिहासिक-पौराणिक पात्रों के प्रसंग से भी मानवीय सम्बन्धों और मर्मों की जाँच-परख है एक कवि की तरह।"" -प्रयाग शुक्ल, आउटलुक हिन्दी / “एक अच्छा कवि कभी अपनी वेध्यता (वलनरेबिलिटी) को छुपाता नहीं, उस पर शर्मिन्दा नहीं होता, बल्कि उसे अपनी जगह लेने देता है। कुलदीप युवावस्था से लेकर अब तक की कविताओं में कहीं भी व्यक्ति की इमोशनल इनसिक्योरिटी और उसकी ज़िन्दगी में उसकी भूमिका को बढ़ाकर या घटाकर पेश नहीं करते। उनके काव्य-विवेक की यही खूबी है।"" -असद जैदी, समयान्तर",,,,,,,,,,,140,,,,,199 ₹,Hindi,,,,,,9789389012774,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:14:02.442199945,,,,,,,b8a_DwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B22D27E0-E6AC-46F7-9FA9-F6B7366D9E1B,
Ratn-Kangan Tatha Anya Kahaniyan / Aleksander Kuprin,,,,,Tras. Nirmal Verma,"Verma, Tras. Nirmal",,,,,,Vani Prakashan,,,2010,,,,,A collection of short stories by A.I. Kuprin.,,,,,,,,,,,293,,,,,425 ₹,Hindi,,,,,,9789350001592,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/12 16:43:51.140859961,,,,,,,m-_7azvijRgC,Hindi,0,0,,,
Ghazal Gaon,,,,,Munawwar Rana,"Rana, Munawwar",,,,,,Vani Prakashan,,2010/10/01,2010,,,,,,,,,,,,,,,,84,,,,,150 ₹,Hindi,,,,,,9788181439796,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:24:57.113021969,,,,,,,W9xbg0AFnP8C,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/95547ABC-6857-4DC1-ACF1-733B61AACDD2,
Suraj Gagrai,,,,,Mahashweta Devi,"Devi, Mahashweta",,,,,,Vani Prakashan,,,2012,,,,Comics & Graphic Novels,Novel based on the life of tribes in Bihar.,,,,,,,,,,,136,,,,,250 INR,Hindi,,,,,,9789350009727,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/16 15:42:38.602875947,,,,,,,-QBDDwAAQBAJ,Hindi,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/B5B79DB9-19A6-480D-BB3E-7544CC10183C,
Hazāroṃ hasarateṃ vo haiṃ,,,,,1831-1905 Dāg̲h̲ Dihlavī,"Dāg̲h̲ Dihlavī, 1831-1905",,,,,,Vāṇī Prakāśana,,,2014,,,,,,,,,,,,,,,,195,,,,,395 ₹,,,,,,,9789350721605,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/18 15:18:15.259094953,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350721600.01Z.jpg,
