Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Abhigyan Shakuntal,,,,,Kalidas,Kalidas,,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,,140 ₹,Hindi,,,,,,9788170287735,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:29:12.547580957,,,,,,,L2_g7ShQaekC,Hindi,0,0,,,
Barsi,,,,,Dr. Vayala Vasudevan Pillai,"Pillai, Dr. Vayala Vasudevan",,,,,,Vani Prakashan,,2011/07/01,2011,,,,,,,,,,,,,,,,63,,,,,125 INR,Hindi,,,,,,9789350007709,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:26:26.455716013,,,,,,,-AfODgAAQBAJ,Hindi,0,0,,,
Dashkumarcharit,,,,,Dandi,Dandi,,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,148,,,,,140 ₹,Hindi,,,,,,9788170287711,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:25:56.372807979,,,,,,,zyPqWSzxOVoC,Hindi,0,0,,,
Hanoosh,,,,,Bhishma Sahni,"Sahni, Bhishma",,,,,,Rajkamal Prakashan Pvt. Limited,,2010/09/01,2010,,,,,"‘हानूश’ भीष्म साहनी का एक ऐसा नाटक है जिसमें कलाकार की सृजन की अदम्य  अकुलाहट और उसकी निरीहता को रूपायित किया गया है। धर्म और सत्ता के गठबन्धन  के साथ सामाजिक शक्तियों के संघर्ष की मार्मिक अभिव्यक्ति भी है यह अनमोल  नाटक ‘हानूश’। कलाकार के पारिवारिक तनावों का अनूठा अंकन हुआ है ‘हानूश’  में। इस नाटक में एक ऐसे कलकार को केन्द्रीय भूमिका मिली है जो शुरू में  ताला बनानेवाला एक सामान्य मिस्त्री   है, बाद में उसके दिमाग़ में घड़ी  बनाने का विचार उत्पन्न होता है और वह घड़ी बनाने में लग जाता है। विषम  परिस्थितियों से जूझता हुआ वह घड़ी बनाने के काम में लगातार सत्रह साल गुज़ार  देता है और अन्ततः इस लगन और कड़ी मेहनत के परिणामस्वरूप वह चेकोस्लोवाकिया  की पहली घड़ी बनाने में कामयाब होता है। उसकी बनाई गई घड़ी नगरपालिका की  मीनार पर लगाई जाती है लेकिन इतनी बड़ी सफलता के बाद कलाकार को क्या मिलता  है? बादशाह कलाकार की आँखें निकलवा लेता है, ताकि वह उस तरह की दूसरी घड़ी  नहीं बना सके। चेक-इतिहास की इस छोटी-सी घटना से भीष्म साहनी ने हिन्दी को  यह यादगार नाटक सौंपा है जो आज छह दशक बाद भी रंग-प्रेमियों के लिए यथार्थ  और आश्चर्य का एक सामंजस्य-सा प्रतीत होता है।",,,,,,,,,,,125,,,,,150 ₹,Hindi,,,,,,9788126718801,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:21:38.011106967,,,,,,,h7TpuAugztAC,Hindi,0,0,,,
Hitopdesh,,,,,Narayan Pandit,"Pandit, Narayan",,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,,110 ₹,Hindi,,,,,,9788170282365,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:30:08.418156027,,,,,,,wZ33_v2PvxsC,Hindi,0,0,,,
Hitopdesh,,,,,Narayan Pandit,"Pandit, Narayan",,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,,110 ₹,Hindi,,,,,,9788170282365,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:29:46.565631985,,,,,,,wZ33_v2PvxsC,Hindi,0,0,,,
Hitopdesh,,,,,Narayan Pandit,"Pandit, Narayan",,,,,,Rajpal & Sons,,,,,,,,,,,,,,,,,,,116,,,,,140 ₹,Hindi,,,,,,9788170282365,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:26:48.686601042,,,,,,,wZ33_v2PvxsC,Hindi,0,0,,,
Lambi Kavita Bhookhand Tap Raha Hai,,Mūlakr̥ti va nāṭya rūpāntaraṇa kavi Candrakānta Devatāle,,,Swatantra Kumar Ojha,"Ojha, Swatantra Kumar",,,,,,Vani Prakashan,,2017/06/01,2017,,,,Juvenile Fiction,"Dramatic adaptation of 'Bhūkhanḍa tapa rahā hai', poem by author himself.",,,,,,,,,,,44,,,,,125 INR,Hindi,,,,,,9789352290833,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:27:30.830785036,,,,,,,1UowDwAAQBAJ,Hindi,0,0,,,
Lambi Kavita Bhookhand Tap Raha Hai,,Mūlakr̥ti va nāṭya rūpāntaraṇa kavi Candrakānta Devatāle,,,Swatantra Kumar Ojha,"Ojha, Swatantra Kumar",,,,,,Vani Prakashan,,2017/06/01,2017,,,,Juvenile Fiction,"Dramatic adaptation of 'Bhūkhanḍa tapa rahā hai', poem by author himself.",,,,,,,,,,,44,,,,,125 INR,Hindi,,,,,,9789352290833,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:25:36.254766941,,,,,,,1UowDwAAQBAJ,Hindi,0,0,,,
Meghdoot,,,,,Nagarjun,Nagarjun,,,,,,Vani Prakashan,,2014/03/16,2014,,,,,,,,,,,,,,,,101,,,,,300 INR,Hindi,,,,,,9789350725740,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:27:53.656607031,,,,,,,7IIkDwAAQBAJ,Hindi,0,0,,,
Muāvaze,,,,,Bhīshma Sāhanī,"Sāhanī, Bhīshma",,,,,,Rādhākr̥shṇa Prakāśana,,,1997,,,,,,,,,,,,,,,,96,,,,,250 ₹,Hindi,,,,,,9788171191260,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:22:33.710469007,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8171191266.01Z.jpg,
Muāvaze,,,,,Bhīshma Sāhanī,"Sāhanī, Bhīshma",,,,,,Rādhākr̥shṇa Prakāśana,,,1997,,,,,,,,,,,,,,,,96,,,,,250 ₹,Hindi,,,,,,9788171191260,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 16:31:22.793375968,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/8171191266.01Z.jpg,
