Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Aasma Fursat Mein Hai,,,,,Madan Mohan Danish,"Danish, Madan Mohan",,,,,,Manjul Publishing,,2018/01/05,2018,,,,Poetry,ग़ज़ल अपने शायर को हर लम्हा रूमान में भी रखती है और इम्तिहान में भी I ग़ज़ल चाहती है कि उसका शायर हर मंज़र के होने को न सिर्फ़ तस्लीम करे... बल्कि उसे इस शिद्दत से महसूस करे कि मंज़र खुद उसे अपने पसमंज़र तक ले जाये... उसकी निगाह हैरान हो... वो देखे हुए के सरहद से आगे निकल कर उन नई सिम्तों को ईजाद करे जो उसे गुमशुदा मंज़िलों का सुराग दें I ग़ज़ल की इन ख़्वाहिशों को रूप देने के लिए मदन मोहन दानिश के तजरुबों ने उनका साथ निभाया I उनकी रचनाओं में तजरुबों के साथ-साथ आने वाले कल की तस्वीर भी तसव्वुर में झिलमिलाती है और कल को बेहतर बनाने का ख्वाब भी दिखती हैं I मदन मोहन दानिश उर्दू शायरी की दुनिया का वो नाम हैं जो अपने मख़सूस लहजे और ख़ास डिक्शन की वजह से अलग से पहचाना जाता है. मुश्किल से मुश्किल बात को भी आसानी से कह देने का कमल मदन मोहन दानिश को हासिल है. दानिश की शायरी ज़िन्दगी के मुख़्तलिफ़ रंगों से सजा हुआ एक ऐसा कोलाज है जिसमें हर आदमी को अपना रंग नज़र आता है. यही वजह है कि दानिश की शायरी की ख़ुशबू मुल्क की सरहदों से होती हुई दुनिया के तमाम मुल्कों में फ़ैल चुकी है.,,,,,,,,,,,132,,,,,175 INR,Hindi,,,,,,9789381506493,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:19:10.439756989,,,,,,,ZwBTDwAAQBAJ,Hindi,0,0,,,
Aasma Fursat Mein Hai,,,,,Madan Mohan Danish,"Danish, Madan Mohan",,,,,,Manjul Publishing,,2018/01/05,2018,,,,Poetry,ग़ज़ल अपने शायर को हर लम्हा रूमान में भी रखती है और इम्तिहान में भी I ग़ज़ल चाहती है कि उसका शायर हर मंज़र के होने को न सिर्फ़ तस्लीम करे... बल्कि उसे इस शिद्दत से महसूस करे कि मंज़र खुद उसे अपने पसमंज़र तक ले जाये... उसकी निगाह हैरान हो... वो देखे हुए के सरहद से आगे निकल कर उन नई सिम्तों को ईजाद करे जो उसे गुमशुदा मंज़िलों का सुराग दें I ग़ज़ल की इन ख़्वाहिशों को रूप देने के लिए मदन मोहन दानिश के तजरुबों ने उनका साथ निभाया I उनकी रचनाओं में तजरुबों के साथ-साथ आने वाले कल की तस्वीर भी तसव्वुर में झिलमिलाती है और कल को बेहतर बनाने का ख्वाब भी दिखती हैं I मदन मोहन दानिश उर्दू शायरी की दुनिया का वो नाम हैं जो अपने मख़सूस लहजे और ख़ास डिक्शन की वजह से अलग से पहचाना जाता है. मुश्किल से मुश्किल बात को भी आसानी से कह देने का कमल मदन मोहन दानिश को हासिल है. दानिश की शायरी ज़िन्दगी के मुख़्तलिफ़ रंगों से सजा हुआ एक ऐसा कोलाज है जिसमें हर आदमी को अपना रंग नज़र आता है. यही वजह है कि दानिश की शायरी की ख़ुशबू मुल्क की सरहदों से होती हुई दुनिया के तमाम मुल्कों में फ़ैल चुकी है.,,,,,,,,,,,132,,,,,175 INR,Hindi,,,,,,9789381506493,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:19:33.958019018,,,,,,,ZwBTDwAAQBAJ,Hindi,0,0,,,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:21:34.215190052,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:21:50.666867017,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:22:07.637982010,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Jośa Malīhābādī,,"Jośa Malīhābādī kī jīvanī aura unakī behatarīna nazmeṃ, g̲h̲azaleṃ, rūbāiyām̐ aura śe'ra = Josh Malihabadi",,,1898-1982 Josh Malīḥābādī,"Josh Malīḥābādī, 1898-1982",,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,125 ₹,Hindi,,,,,,9789386534002,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:22:30.738646030,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9386534002.01Z.jpg,
Pacāsa kavitāem̐,,Nayī sadī ke lie cayana,,,Mamatā Kāliyā,"Kāliyā, Mamatā",,,,,,Vāṇī Prakāśana,,,2012,,,,,,,,,,,,,,,,71,,,,,65 ₹,Hindi,,,,,,9789350722268,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 18:16:53.102854967,,,,,,,,Hindi,0,0,,http://images.amazon.com/images/P/9350722267.01Z.jpg,
Prema kabūtara,,,,,Mānava Kaula,"Kaula, Mānava",,,,,,Hinda Yugma,,,2017,,,,,,,,,,,,,,,,159,,,,,150 ₹,Hindi,,,,2017327642,,9789386224385,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:32:32.258463025,,,,,,,-t5nswEACAAJ,Hindi,0,0,,https://covers.openlibrary.org/b/id/9344695-L.jpg,
Prema kabūtara,,,,,Mānava Kaula,"Kaula, Mānava",,,,,,Hinda Yugma,,,2017,,,,,,,,,,,,,,,,159,,,,,150 ₹,Hindi,,,,2017327642,,9789386224385,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:33:05.829614996,,,,,,,-t5nswEACAAJ,Hindi,0,0,,https://covers.openlibrary.org/b/id/9344695-L.jpg,
Prema kabūtara,,,,,Mānava Kaula,"Kaula, Mānava",,,,,,Hinda Yugma,,,2017,,,,,,,,,,,,,,,,159,,,,,150 ₹,Hindi,,,,2017327642,,9789386224385,0,0.000000,,Unread,,,,,,,,0,,,,2020/07/28 17:33:31.290431976,,,,,,,-t5nswEACAAJ,Hindi,0,0,,https://covers.openlibrary.org/b/id/9344695-L.jpg,
